Index,Displacement,Force,Time
468,0.032685,147.6708,33.7999770000006
469,0.032602,147.6271,34.0000150000005
470,0.032652,147.5074,34.1999649999998
471,0.03208,147.4369,34.4000080000005
472,0.032222,147.3843,34.5999739999997
473,0.031817,147.2747,34.7999449999998
474,0.032019,147.3124,35.0000250000003
475,0.031796,147.2333,35.2000399999997
476,0.032646,147.211,35.4000249999999
477,0.033134,147.0856,35.5999899999997
478,0.03294,146.9195,35.7999740000005
479,0.033185,146.9878,36.0000300000002
480,0.032197,146.8648,36.2000820000003
481,0.031908,146.8465,36.4000299999998
482,0.033123,146.8494,36.5999819999997
483,0.032199,146.7516,36.8000229999998
484,0.033196,146.718,37.0000669999999
485,0.03274,146.6753,37.1999940000005
486,0.033155,146.6608,37.4000249999999
487,0.032229,146.4778,37.5999190000002
488,0.032843,146.4807,37.8000300000003
489,0.033354,146.4526,38.0000559999999
490,0.031916,146.5184,38.199987
491,0.031939,146.419,38.3999759999997
492,0.032671,146.3373,38.5999600000005
493,0.033299,146.4127,38.8000039999997
494,0.031173,146.4862,39.0000410000002
495,0.03277,146.4408,39.2000210000006
496,0.03306,146.3476,39.3999899999999
497,0.031922,146.3117,39.5999950000005
498,0.033286,146.2415,39.7999829999999
499,0.030867,146.1597,39.9999619999999
500,0.031431,146.2381,40.1999470000001
501,0.03205,146.071,40.3999700000004
502,0.033101,146.1185,40.6000570000006
503,0.032314,146.1426,40.8000080000002
504,0.031426,145.9037,41.0000289999998
505,0.033308,145.8841,41.2000589999998
506,0.033074,145.855,41.4000070000002
507,0.033195,145.7069,41.6000549999999
508,0.032596,145.5168,41.7999369999998
509,0.032355,145.5649,42.0000070000006
510,0.031982,145.4206,42.2000239999998
511,0.031499,145.3556,42.4000249999999
512,0.032174,145.2865,42.6000949999998
513,0.032052,145.1574,42.8001030000005
514,0.032222,145.1971,43.0000609999997
515,0.032514,145.0099,43.2001630000004
516,0.03249,144.9109,43.4000329999999
517,0.032119,144.7878,43.6000629999999
518,0.031975,144.9089,43.800099
519,0.031915,144.7899,44.0000950000003
520,0.033039,144.7169,44.2001209999999
521,0.03224,144.6006,44.4000350000006
522,0.032188,144.6702,44.6000000000004
