Count,Filename_0_1,Filename_0_0,Time_0_1,Time_0_0,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,force,PIP,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
16,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000016_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000016_0.tif,4069.091390,4069.091709,0.000857,-0.000505,-0.000458,-0.000129,-0.022806,-0.003416,-0.003744,-0.005388,0.000857,-0.000505,-0.000458,-0.000129,-0.022806,-0.003416,-0.003744,-0.005388
17,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000017_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000017_0.tif,4070.491380,4070.491665,0.001843,0.000974,-0.000129,-0.000129,-0.023464,-0.004730,-0.005059,-0.007688,0.001843,0.000974,-0.000129,-0.000129,-0.023464,-0.004730,-0.005059,-0.007688
18,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000018_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000018_0.tif,4072.291337,4072.291586,0.001514,-0.000012,-0.001115,-0.000458,-0.023792,-0.004402,-0.004730,-0.006374,0.001514,-0.000012,-0.001115,-0.000458,-0.023792,-0.004402,-0.004730,-0.006374
19,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000019_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000019_0.tif,4076.691370,4076.691712,0.001514,-0.000341,-0.000786,-0.000129,-0.022806,-0.002758,-0.003416,-0.005388,0.001514,-0.000341,-0.000786,-0.000129,-0.022806,-0.002758,-0.003416,-0.005388
20,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000020_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000020_0.tif,4079.091308,4079.091579,0.001514,-0.000505,-0.001444,-0.000458,-0.023135,-0.003087,-0.003416,-0.005716,0.001514,-0.000505,-0.001444,-0.000458,-0.023135,-0.003087,-0.003416,-0.005716
21,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000021_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000021_0.tif,4081.291279,4081.291636,0.001843,-0.002314,-0.002758,-0.002101,-0.025107,-0.005388,-0.005059,-0.007031,0.001843,-0.002314,-0.002758,-0.002101,-0.025107,-0.005388,-0.005059,-0.007031
22,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000022_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000022_0.tif,4087.091313,4087.091633,0.001186,-0.000670,-0.001115,-0.000458,-0.024121,-0.004402,-0.004402,-0.006702,0.001186,-0.000670,-0.001115,-0.000458,-0.024121,-0.004402,-0.004402,-0.006702
23,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000023_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000023_0.tif,4090.691381,4090.691630,0.001186,-0.000670,-0.000129,-0.000129,-0.025107,-0.005716,-0.005388,-0.008017,0.001186,-0.000670,-0.000129,-0.000129,-0.025107,-0.005716,-0.005388,-0.008017
24,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000024_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000024_0.tif,4092.491316,4092.491568,0.002172,0.003769,0.002172,0.002172,-0.021820,-0.002758,-0.003087,-0.005059,0.002172,0.003769,0.002172,0.002172,-0.021820,-0.002758,-0.003087,-0.005059
25,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000025_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000025_0.tif,4094.091415,4094.091770,0.000857,-0.000670,-0.001444,-0.000129,-0.023464,-0.003416,-0.003416,-0.006045,0.000857,-0.000670,-0.001444,-0.000129,-0.023464,-0.003416,-0.003416,-0.006045
26,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000026_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000026_0.tif,4095.891375,4095.891674,0.001514,0.001139,-0.000458,-0.000786,-0.025436,-0.006374,-0.007359,-0.009331,0.001514,0.001139,-0.000458,-0.000786,-0.025436,-0.006374,-0.007359,-0.009331
27,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000027_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000027_0.tif,4098.691337,4098.691676,0.002172,-0.000012,-0.000129,0.000200,-0.024450,-0.004730,-0.004730,-0.007359,0.002172,-0.000012,-0.000129,0.000200,-0.024450,-0.004730,-0.004730,-0.007359
28,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000028_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000028_0.tif,4100.691308,4100.691683,0.001843,-0.000999,-0.001444,-0.000458,-0.024778,-0.005388,-0.004730,-0.007359,0.001843,-0.000999,-0.001444,-0.000458,-0.024778,-0.005388,-0.004730,-0.007359
29,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000029_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000029_0.tif,4103.491398,4103.491574,0.001514,0.001139,0.000528,-0.000129,-0.024450,-0.005388,-0.006045,-0.008674,0.001514,0.001139,0.000528,-0.000129,-0.024450,-0.005388,-0.006045,-0.008674
30,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000030_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000030_0.tif,4106.691331,4106.691612,0.001843,0.000152,-0.000458,0.000200,-0.023135,-0.003744,-0.004402,-0.006374,0.001843,0.000152,-0.000458,0.000200,-0.023135,-0.003744,-0.004402,-0.006374
31,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000031_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000031_0.tif,4108.891333,4108.891609,0.001514,-0.000012,-0.001115,-0.000786,-0.024778,-0.005059,-0.005388,-0.007031,0.001514,-0.000012,-0.001115,-0.000786,-0.024778,-0.005059,-0.005388,-0.007031
32,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000032_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000032_0.tif,4110.891343,4110.891661,0.001514,0.001303,0.000528,0.000857,-0.022806,-0.004402,-0.005716,-0.007031,0.001514,0.001303,0.000528,0.000857,-0.022806,-0.004402,-0.005716,-0.007031
33,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000033_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000033_0.tif,4112.491386,4112.491658,0.001514,0.000974,-0.001444,-0.001444,-0.023135,-0.003416,-0.003416,-0.004402,0.001514,0.000974,-0.001444,-0.001444,-0.023135,-0.003416,-0.003416,-0.004402
