Count,Filename_0_1,Filename_0_0,Time_0_1,Time_0_0,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,force,PIP,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
358,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000358_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000358_0.tif,7610.883730,7610.884156,0.001186,0.004591,0.005787,0.007101,-0.011303,0.007759,0.006115,0.005458,0.001186,0.004591,0.005787,0.007101,-0.011303,0.007759,0.006115,0.005458
359,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000359_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000359_0.tif,7611.083784,7611.084136,0.001186,0.002454,0.003815,0.005787,-0.012289,0.007759,0.007101,0.007430,0.001186,0.002454,0.003815,0.005787,-0.012289,0.007759,0.007101,0.007430
360,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000360_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000360_0.tif,7611.283778,7611.284113,0.002172,0.011661,0.008416,0.007101,-0.012618,0.007430,0.006773,0.006115,0.002172,0.011661,0.008416,0.007101,-0.012618,0.007430,0.006773,0.006115
361,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000361_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000361_0.tif,7611.483697,7611.484110,0.001186,0.002290,0.003158,0.004801,-0.013275,0.007101,0.006444,0.006773,0.001186,0.002290,0.003158,0.004801,-0.013275,0.007101,0.006444,0.006773
362,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000362_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000362_0.tif,7611.683735,7611.684090,0.001186,0.001796,0.003158,0.004472,-0.013604,0.006444,0.006115,0.005129,0.001186,0.001796,0.003158,0.004472,-0.013604,0.006444,0.006115,0.005129
363,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000363_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000363_0.tif,7611.883736,7611.884103,0.001843,0.002454,0.005129,0.004143,-0.015576,0.004472,0.003486,0.002829,0.001843,0.002454,0.005129,0.004143,-0.015576,0.004472,0.003486,0.002829
364,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000364_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000364_0.tif,7612.083671,7612.084120,0.001514,-0.000505,0.001843,0.003158,-0.014590,0.006115,0.006444,0.006773,0.001514,-0.000505,0.001843,0.003158,-0.014590,0.006115,0.006444,0.006773
365,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000365_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000365_0.tif,7612.283665,7612.284219,0.001843,0.002125,0.004472,0.006773,-0.010646,0.010059,0.009402,0.009073,0.001843,0.002125,0.004472,0.006773,-0.010646,0.010059,0.009402,0.009073
366,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000366_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000366_0.tif,7612.483764,7612.484139,0.001843,0.002125,0.003158,0.004472,-0.013275,0.006115,0.006444,0.005458,0.001843,0.002125,0.003158,0.004472,-0.013275,0.006115,0.006444,0.005458
367,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000367_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000367_0.tif,7612.683803,7612.684114,0.001186,0.003276,0.004801,0.005458,-0.013933,0.005129,0.003158,0.001843,0.001186,0.003276,0.004801,0.005458,-0.013933,0.005129,0.003158,0.001843
368,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000368_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000368_0.tif,7612.883759,7612.884141,0.001186,0.002290,0.003486,0.003815,-0.015576,0.003158,0.002172,0.001843,0.001186,0.002290,0.003486,0.003815,-0.015576,0.003158,0.002172,0.001843
369,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000369_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000369_0.tif,7613.083771,7613.084151,0.001514,0.002290,0.003158,0.004801,-0.013604,0.006115,0.006444,0.005458,0.001514,0.002290,0.003158,0.004801,-0.013604,0.006115,0.006444,0.005458
370,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000370_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000370_0.tif,7613.283803,7613.284152,0.001843,0.001632,0.002500,0.003815,-0.014919,0.006115,0.007101,0.008087,0.001843,0.001632,0.002500,0.003815,-0.014919,0.006115,0.007101,0.008087
371,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000371_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000371_0.tif,7613.483723,7613.484150,0.001843,0.003441,0.003815,0.004801,-0.013933,0.006115,0.005458,0.004143,0.001843,0.003441,0.003815,0.004801,-0.013933,0.006115,0.005458,0.004143
372,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000372_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000372_0.tif,7613.683794,7613.684179,0.001843,0.000317,0.001843,0.003486,-0.013604,0.007759,0.008087,0.008087,0.001843,0.000317,0.001843,0.003486,-0.013604,0.007759,0.008087,0.008087
373,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000373_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000373_0.tif,7613.883798,7613.884124,0.001186,0.003441,0.004472,0.005129,-0.012947,0.006444,0.006444,0.006115,0.001186,0.003441,0.004472,0.005129,-0.012947,0.006444,0.006444,0.006115
374,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000374_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000374_0.tif,7614.083776,7614.084118,0.001514,0.001468,0.003486,0.004472,-0.012947,0.007101,0.006773,0.005458,0.001514,0.001468,0.003486,0.004472,-0.012947,0.007101,0.006773,0.005458
375,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000375_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000375_0.tif,7619.883783,7619.884154,0.001186,0.003441,0.003815,0.005129,-0.013604,0.007430,0.006773,0.007101,0.001186,0.003441,0.003815,0.005129,-0.013604,0.007430,0.006773,0.007101
376,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000376_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000376_0.tif,7620.083764,7620.084134,0.001514,0.003934,0.005458,0.006773,-0.012289,0.007759,0.006444,0.005787,0.001514,0.003934,0.005458,0.006773,-0.012289,0.007759,0.006444,0.005787
377,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000377_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000377_0.tif,7620.283808,7620.284122,0.001186,0.000974,0.003486,0.004472,-0.012947,0.007759,0.008087,0.007759,0.001186,0.000974,0.003486,0.004472,-0.012947,0.007759,0.008087,0.007759
378,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000378_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000378_0.tif,7620.483741,7620.484131,0.001843,0.001796,0.003158,0.005129,-0.013275,0.008745,0.008745,0.009073,0.001843,0.001796,0.003158,0.005129,-0.013275,0.008745,0.008745,0.009073
379,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000379_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000379_0.tif,7620.683745,7620.684058,0.001843,0.001632,0.004143,0.005787,-0.013604,0.007430,0.008087,0.007101,0.001843,0.001632,0.004143,0.005787,-0.013604,0.007430,0.008087,0.007101
380,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000380_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000380_0.tif,7620.883790,7620.884090,0.001514,0.006893,0.010388,0.011703,-0.008017,0.012360,0.010388,0.009731,0.001514,0.006893,0.010388,0.011703,-0.008017,0.012360,0.010388,0.009731
381,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000381_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000381_0.tif,7621.083713,7621.084079,0.001843,0.002783,0.005458,0.006115,-0.011961,0.009731,0.009073,0.008416,0.001843,0.002783,0.005458,0.006115,-0.011961,0.009731,0.009073,0.008416
382,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000382_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000382_0.tif,7621.283791,7621.284093,0.001514,0.011332,0.011374,0.012689,-0.005059,0.015646,0.014989,0.014003,0.001514,0.011332,0.011374,0.012689,-0.005059,0.015646,0.014989,0.014003
383,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000383_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000383_0.tif,7621.483746,7621.484165,0.001514,0.000810,0.002829,0.003486,-0.014919,0.005787,0.005129,0.006115,0.001514,0.000810,0.002829,0.003486,-0.014919,0.005787,0.005129,0.006115
384,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000384_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000384_0.tif,7621.683745,7621.684177,0.001514,-0.004287,-0.000786,0.001843,-0.015905,0.006773,0.007101,0.007101,0.001514,-0.004287,-0.000786,0.001843,-0.015905,0.006773,0.007101,0.007101
385,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000385_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000385_0.tif,7621.883729,7621.884087,0.001514,0.001303,0.003158,0.005458,-0.013604,0.009402,0.008745,0.009073,0.001514,0.001303,0.003158,0.005458,-0.013604,0.009402,0.008745,0.009073
386,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000386_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000386_0.tif,7622.083785,7622.084085,0.001843,0.001961,0.002829,0.004472,-0.013933,0.006444,0.006773,0.006773,0.001843,0.001961,0.002829,0.004472,-0.013933,0.006444,0.006773,0.006773
387,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000387_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000387_0.tif,7622.283702,7622.284073,0.001514,0.002454,0.003815,0.005129,-0.013604,0.007101,0.007101,0.007430,0.001514,0.002454,0.003815,0.005129,-0.013604,0.007101,0.007101,0.007430
388,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000388_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000388_0.tif,7622.483797,7622.484133,0.001514,0.001468,0.003486,0.005458,-0.012618,0.009073,0.009402,0.009402,0.001514,0.001468,0.003486,0.005458,-0.012618,0.009073,0.009402,0.009402
389,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000389_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000389_0.tif,7622.683676,7622.684012,0.001514,0.001961,0.003815,0.005458,-0.012947,0.008416,0.008416,0.007759,0.001514,0.001961,0.003815,0.005458,-0.012947,0.008416,0.008416,0.007759
390,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000390_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000390_0.tif,7622.883786,7622.884103,0.001514,0.002454,0.004143,0.005129,-0.012947,0.007759,0.008416,0.008087,0.001514,0.002454,0.004143,0.005129,-0.012947,0.007759,0.008416,0.008087
391,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000391_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000391_0.tif,7623.083773,7623.084160,0.001186,0.002947,0.003486,0.005458,-0.013275,0.008416,0.009073,0.009073,0.001186,0.002947,0.003486,0.005458,-0.013275,0.008416,0.009073,0.009073
392,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000392_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000392_0.tif,7623.283789,7623.284127,0.001843,0.001303,0.003158,0.005129,-0.012618,0.009073,0.010059,0.009731,0.001843,0.001303,0.003158,0.005129,-0.012618,0.009073,0.010059,0.009731
393,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000393_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000393_0.tif,7623.483768,7623.484116,0.001843,0.001632,0.002172,0.002829,-0.015576,0.005787,0.007101,0.008416,0.001843,0.001632,0.002172,0.002829,-0.015576,0.005787,0.007101,0.008416
394,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000394_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000394_0.tif,7623.683744,7623.684121,0.001186,0.001632,0.002829,0.003815,-0.014590,0.008087,0.009073,0.010388,0.001186,0.001632,0.002829,0.003815,-0.014590,0.008087,0.009073,0.010388
395,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000395_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000395_0.tif,7623.883751,7623.884096,0.001186,0.000481,0.002500,0.004801,-0.014590,0.006444,0.005458,0.004143,0.001186,0.000481,0.002500,0.004801,-0.014590,0.006444,0.005458,0.004143
396,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000396_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000396_0.tif,7624.083736,7624.084094,0.001843,0.003605,0.004472,0.005787,-0.012947,0.008416,0.009402,0.008745,0.001843,0.003605,0.004472,0.005787,-0.012947,0.008416,0.009402,0.008745
397,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000397_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000397_0.tif,7624.283760,7624.284102,0.001514,0.001796,0.004801,0.007101,-0.011632,0.009073,0.009402,0.008087,0.001514,0.001796,0.004801,0.007101,-0.011632,0.009073,0.009402,0.008087
398,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000398_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000398_0.tif,7624.483721,7624.484065,0.001843,0.003276,0.005458,0.006773,-0.011961,0.008745,0.007430,0.006773,0.001843,0.003276,0.005458,0.006773,-0.011961,0.008745,0.007430,0.006773
399,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000399_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000399_0.tif,7624.683789,7624.684063,0.001843,-0.000834,0.000857,0.003815,-0.013933,0.008745,0.010059,0.010388,0.001843,-0.000834,0.000857,0.003815,-0.013933,0.008745,0.010059,0.010388
400,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000400_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000400_0.tif,7624.883686,7624.884042,0.001843,0.001303,0.003158,0.004472,-0.014261,0.006444,0.007759,0.007430,0.001843,0.001303,0.003158,0.004472,-0.014261,0.006444,0.007759,0.007430
401,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000401_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000401_0.tif,7625.083802,7625.084030,0.001843,0.001468,0.003486,0.005458,-0.013933,0.008416,0.008745,0.008745,0.001843,0.001468,0.003486,0.005458,-0.013933,0.008416,0.008745,0.008745
402,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000402_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000402_0.tif,7625.283728,7625.284034,0.001514,0.002290,0.002829,0.004801,-0.014919,0.006773,0.008087,0.008416,0.001514,0.002290,0.002829,0.004801,-0.014919,0.006773,0.008087,0.008416
403,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000403_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000403_0.tif,7625.483731,7625.484097,0.001514,0.002783,0.003158,0.003815,-0.015247,0.006115,0.006773,0.006773,0.001514,0.002783,0.003158,0.003815,-0.015247,0.006115,0.006773,0.006773
404,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000404_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000404_0.tif,7625.683801,7625.684218,0.001843,0.002783,0.004472,0.006115,-0.013275,0.008087,0.007759,0.006444,0.001843,0.002783,0.004472,0.006115,-0.013275,0.008087,0.007759,0.006444
405,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000405_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000405_0.tif,7625.883803,7625.884049,0.001514,0.002125,0.002829,0.003815,-0.014919,0.006444,0.007101,0.007101,0.001514,0.002125,0.002829,0.003815,-0.014919,0.006444,0.007101,0.007101
406,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000406_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000406_0.tif,7626.083759,7626.084006,0.000857,-0.003629,0.000528,0.003486,-0.013933,0.007430,0.007759,0.007759,0.000857,-0.003629,0.000528,0.003486,-0.013933,0.007430,0.007759,0.007759
407,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000407_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000407_0.tif,7626.283682,7626.284124,0.001186,0.001796,0.003815,0.005787,-0.011961,0.009731,0.009731,0.009402,0.001186,0.001796,0.003815,0.005787,-0.011961,0.009731,0.009731,0.009402
408,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000408_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000408_0.tif,7626.483689,7626.484156,0.001843,0.001303,0.004472,0.007101,-0.010646,0.011703,0.011374,0.011045,0.001843,0.001303,0.004472,0.007101,-0.010646,0.011703,0.011374,0.011045
409,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000409_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000409_0.tif,7626.683739,7626.684122,0.001186,0.002619,0.002829,0.004472,-0.014590,0.007759,0.009073,0.009731,0.001186,0.002619,0.002829,0.004472,-0.014590,0.007759,0.009073,0.009731
410,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000410_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000410_0.tif,7626.883809,7626.884073,0.001514,0.001468,0.005787,0.008087,-0.010317,0.011045,0.010388,0.010388,0.001514,0.001468,0.005787,0.008087,-0.010317,0.011045,0.010388,0.010388
411,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000411_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000411_0.tif,7627.083740,7627.084152,0.001514,0.002454,0.003815,0.004472,-0.014590,0.006444,0.007101,0.007101,0.001514,0.002454,0.003815,0.004472,-0.014590,0.006444,0.007101,0.007101
412,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000412_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000412_0.tif,7627.283761,7627.284168,0.001514,0.003605,0.002829,0.002500,-0.016562,0.003815,0.004143,0.005458,0.001514,0.003605,0.002829,0.002500,-0.016562,0.003815,0.004143,0.005458
413,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000413_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000413_0.tif,7627.483747,7627.484044,0.001843,0.003276,0.004472,0.006444,-0.012289,0.008416,0.008745,0.007759,0.001843,0.003276,0.004472,0.006444,-0.012289,0.008416,0.008745,0.007759
414,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000414_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000414_0.tif,7627.683690,7627.684090,0.001514,0.001796,0.003158,0.004801,-0.011303,0.011703,0.012360,0.012360,0.001514,0.001796,0.003158,0.004801,-0.011303,0.011703,0.012360,0.012360
415,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000415_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000415_0.tif,7627.883745,7627.884122,0.002172,0.000481,0.004472,0.007101,-0.010646,0.011374,0.011374,0.011045,0.002172,0.000481,0.004472,0.007101,-0.010646,0.011374,0.011374,0.011045
416,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000416_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000416_0.tif,7628.083818,7628.084100,0.001186,0.002125,0.003158,0.004801,-0.012947,0.008416,0.009073,0.010059,0.001186,0.002125,0.003158,0.004801,-0.012947,0.008416,0.009073,0.010059
417,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000417_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000417_0.tif,7628.283735,7628.284065,0.002172,0.003112,0.003158,0.005129,-0.014590,0.005787,0.005458,0.005458,0.002172,0.003112,0.003158,0.005129,-0.014590,0.005787,0.005458,0.005458
418,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000418_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000418_0.tif,7628.483758,7628.484057,0.001514,0.001796,0.003486,0.005458,-0.012947,0.008745,0.008416,0.007759,0.001514,0.001796,0.003486,0.005458,-0.012947,0.008745,0.008416,0.007759
419,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000419_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000419_0.tif,7628.683685,7628.684102,0.001843,0.004263,0.005129,0.005787,-0.012947,0.010059,0.010717,0.010059,0.001843,0.004263,0.005129,0.005787,-0.012947,0.010059,0.010717,0.010059
420,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000420_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000420_0.tif,7628.883641,7628.884057,0.001514,0.002454,0.003486,0.004472,-0.013933,0.007759,0.008745,0.008745,0.001514,0.002454,0.003486,0.004472,-0.013933,0.007759,0.008745,0.008745
421,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000421_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000421_0.tif,7629.083769,7629.084099,0.002500,0.012483,0.009731,0.009731,-0.010317,0.009731,0.009073,0.007759,0.002500,0.012483,0.009731,0.009731,-0.010317,0.009731,0.009073,0.007759
422,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000422_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000422_0.tif,7629.283748,7629.284184,0.001514,0.001796,0.003486,0.005129,-0.012289,0.010059,0.010388,0.011045,0.001514,0.001796,0.003486,0.005129,-0.012289,0.010059,0.010388,0.011045
423,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000423_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000423_0.tif,7629.483768,7629.484179,0.001186,0.003934,0.005129,0.007101,-0.011632,0.010717,0.010059,0.009731,0.001186,0.003934,0.005129,0.007101,-0.011632,0.010717,0.010059,0.009731
424,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000424_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000424_0.tif,7629.683754,7629.684123,0.001843,0.007880,0.006115,0.004801,-0.015576,0.004472,0.004472,0.005129,0.001843,0.007880,0.006115,0.004801,-0.015576,0.004472,0.004472,0.005129
425,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000425_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000425_0.tif,7629.883782,7629.884086,0.001186,0.001303,0.002500,0.004801,-0.014261,0.008087,0.008745,0.008416,0.001186,0.001303,0.002500,0.004801,-0.014261,0.008087,0.008745,0.008416
426,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000426_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000426_0.tif,7630.083726,7630.084088,0.001843,0.003112,0.004472,0.006444,-0.011632,0.010717,0.011045,0.010717,0.001843,0.003112,0.004472,0.006444,-0.011632,0.010717,0.011045,0.010717
427,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000427_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000427_0.tif,7630.283728,7630.284071,0.000857,0.003441,0.004472,0.005787,-0.013604,0.007101,0.007101,0.007101,0.000857,0.003441,0.004472,0.005787,-0.013604,0.007101,0.007101,0.007101
428,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000428_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000428_0.tif,7630.483828,7630.484130,0.001843,0.002290,0.003158,0.005129,-0.013275,0.008416,0.010717,0.010717,0.001843,0.002290,0.003158,0.005129,-0.013275,0.008416,0.010717,0.010717
429,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000429_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000429_0.tif,7630.683819,7630.684184,0.001514,0.001139,0.002500,0.004472,-0.014919,0.007759,0.007430,0.007430,0.001514,0.001139,0.002500,0.004472,-0.014919,0.007759,0.007430,0.007430
430,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000430_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000430_0.tif,7630.883738,7630.884052,0.001514,0.002947,0.003815,0.006444,-0.011961,0.010059,0.010717,0.009731,0.001514,0.002947,0.003815,0.006444,-0.011961,0.010059,0.010717,0.009731
431,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000431_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000431_0.tif,7631.083755,7631.084094,0.001514,0.001796,0.003815,0.005787,-0.012289,0.008745,0.009073,0.008745,0.001514,0.001796,0.003815,0.005787,-0.012289,0.008745,0.009073,0.008745
432,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000432_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000432_0.tif,7631.283756,7631.284038,0.001843,0.001796,0.002829,0.004472,-0.014261,0.006773,0.007101,0.007101,0.001843,0.001796,0.002829,0.004472,-0.014261,0.006773,0.007101,0.007101
433,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000433_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000433_0.tif,7631.483802,7631.484080,0.001514,0.001632,0.003486,0.005787,-0.013604,0.008416,0.008416,0.008087,0.001514,0.001632,0.003486,0.005787,-0.013604,0.008416,0.008416,0.008087
434,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000434_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000434_0.tif,7631.683762,7631.684203,0.001843,0.003112,0.004801,0.006444,-0.013604,0.007430,0.005787,0.004801,0.001843,0.003112,0.004801,0.006444,-0.013604,0.007430,0.005787,0.004801
435,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000435_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000435_0.tif,7631.883719,7631.884101,0.001514,0.001468,0.003158,0.005458,-0.013275,0.008745,0.008416,0.008416,0.001514,0.001468,0.003158,0.005458,-0.013275,0.008745,0.008416,0.008416
436,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000436_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000436_0.tif,7632.083795,7632.084076,0.001186,0.001796,0.003815,0.006444,-0.012289,0.009731,0.010388,0.008745,0.001186,0.001796,0.003815,0.006444,-0.012289,0.009731,0.010388,0.008745
437,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000437_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-00000437_0.tif,7632.283725,7632.284120,0.001514,0.000974,0.003158,0.005129,-0.012618,0.009073,0.008745,0.009073,0.001514,0.000974,0.003158,0.005129,-0.012618,0.009073,0.008745,0.009073
