"E0",,,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
85,0.00371961,0.130186,35.1301,34.9999
86,0.00376845,0.131896,35.1318,34.9999
87,0.00376151,0.131653,35.1316,34.9999
88,0.00376289,0.131701,35.1316,34.9999
89,0.00369661,0.129381,35.1293,34.9999
90,0.0037384,0.130844,35.1308,34.9999
91,0.00369246,0.129236,35.1292,34.9999
92,0.00370049,0.129517,35.1294,34.9999
93,0.00367758,0.128715,35.1286,34.9999
94,0.00367362,0.128576,35.1285,34.9999
95,0.00362851,0.126998,35.1269,34.9999
96,0.0036185,0.126647,35.1266,34.9999
97,0.0035934,0.125769,35.1257,34.9999
98,0.00360019,0.126006,35.1259,34.9999
99,0.00357201,0.12502,35.125,34.9999
100,0.0039728,0.139048,35.139,34.9999
101,0.00398407,0.139442,35.1394,34.9999
102,0.00395621,0.138467,35.1384,34.9999
103,0.00393963,0.137887,35.1378,34.9999
104,0.0039869,0.139541,35.1395,34.9999
105,0.00395027,0.138259,35.1382,34.9999
106,0.00392008,0.137202,35.1371,34.9999
107,0.00390152,0.136553,35.1365,34.9999
108,0.00388049,0.135817,35.1357,34.9999
109,0.00386266,0.135193,35.1351,34.9999
110,0.00385716,0.135,35.1349,34.9999
111,0.00387834,0.135742,35.1357,34.9999
112,0.0038314,0.134099,35.134,34.9999
113,0.0038358,0.134253,35.1342,34.9999
114,0.00381509,0.133528,35.1335,34.9999
115,0.0037604,0.131614,35.1315,34.9999
116,0.00378217,0.132376,35.1323,34.9999
117,0.0037964,0.132874,35.1328,34.9999
118,0.00380736,0.133257,35.1332,34.9999
119,0.00377664,0.132182,35.1321,34.9999
120,0.00374525,0.131083,35.131,34.9999
121,0.00375341,0.131369,35.1313,34.9999
122,0.00377154,0.132004,35.1319,34.9999
123,0.00372726,0.130454,35.1304,34.9999
124,0.00370541,0.129689,35.1296,34.9999
125,0.00368583,0.129004,35.1289,34.9999
126,0.00418813,0.146584,35.1465,34.9999
127,0.00416097,0.145634,35.1456,34.9999
128,0.00417192,0.146017,35.1459,34.9999
129,0.00417058,0.14597,35.1459,34.9999
130,0.00411351,0.143973,35.1439,34.9999
131,0.00411813,0.144134,35.1441,34.9999
132,0.00410961,0.143836,35.1438,34.9999
133,0.00410565,0.143697,35.1436,34.9999
134,0.00413582,0.144753,35.1447,34.9999
135,0.00411607,0.144062,35.144,34.9999
136,0.00408664,0.143032,35.143,34.9999
137,0.00408086,0.14283,35.1428,34.9999
138,0.00406392,0.142237,35.1422,34.9999
139,0.00404645,0.141625,35.1416,34.9999
140,0.00403319,0.141161,35.1411,34.9999
141,0.0040138,0.140483,35.1404,34.9999
142,0.003997,0.139895,35.1398,34.9999
143,0.00398844,0.139595,35.1395,34.9999
144,0.00398798,0.139579,35.1395,34.9999
145,0.00396282,0.138699,35.1386,34.9999
146,0.00395162,0.138306,35.1382,34.9999
147,0.00396702,0.138845,35.1388,34.9999
148,0.00394032,0.137911,35.1378,34.9999
149,0.00381259,0.13344,35.1334,34.9999
150,0.00393079,0.137577,35.1375,34.9999
151,0.00390206,0.136572,35.1365,34.9999
152,0.00391323,0.136963,35.1369,34.9999
153,0.00391969,0.137189,35.1371,34.9999
154,0.00389581,0.136353,35.1363,34.9999
155,0.00389556,0.136344,35.1363,34.9999
156,0.00387428,0.135599,35.1355,34.9999
157,0.00385193,0.134817,35.1347,34.9999
158,0.00383154,0.134104,35.134,34.9999
159,0.00381336,0.133467,35.1334,34.9999
160,0.00381185,0.133415,35.1333,34.9999
161,0.00383547,0.134241,35.1342,34.9999
162,0.00381249,0.133437,35.1334,34.9999
163,0.00379044,0.132665,35.1326,34.9999
164,0.0037973,0.132905,35.1328,34.9999
165,0.0037485,0.131197,35.1311,34.9999
166,0.00375131,0.131295,35.1312,34.9999
167,0.00373898,0.130864,35.1308,34.9999
168,0.00372781,0.130473,35.1304,34.9999
169,0.00415986,0.145595,35.1455,34.9999
170,0.00409824,0.143438,35.1434,34.9999
171,0.00409667,0.143383,35.1433,34.9999
172,0.00409799,0.143429,35.1434,34.9999
173,0.00408774,0.14307,35.143,34.9999
174,0.00406606,0.142312,35.1422,34.9999
175,0.00403512,0.141229,35.1412,34.9999
